,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated,
1,Drake,50162292808,19246513666.00,262,6,130,19.09.22,
2,Bad Bunny,44369032140,5391990975.00,163,5,118,20.09.22,
3,Ed Sheeran,38153682361,2791278201.00,240,10,62,19.09.22,
4,The Weeknd,34767779741,4288903657.00,186,8,72,19.09.22,
5,Taylor Swift,32596728109,424053296.00,323,1,96,20.09.22,
6,Justin Bieber,32465998885,10816202075.00,225,6,58,20.09.22,
7,Ariana Grande,32287682040,2052297828.00,181,8,71,19.09.22,
8,Eminem,30431861291,4165031640.00,301,5,65,19.09.22,
9,Post Malone,29832277109,2728018288.00,98,9,57,19.09.22,
10,BTS,28533458128,323205288.00,262,1,98,19.09.22,
11,J Balvin,25892190469,9950347777.00,242,3,66,19.09.22,
12,Kanye West,25535119184,5767153127.00,239,1,63,20.09.22,
13,Billie Eilish,23684986780,0.00,65,4,47,20.09.22,
14,Juice WRLD,23114066243,3751941085.00,116,3,60,19.09.22,
15,Coldplay,22214835214,0.00,299,5,34,20.09.22,
16,Dua Lipa,22186290470,349750231.00,198,7,36,19.09.22,
17,Imagine Dragons,21812218476,65400698.00,189,4,41,19.09.22,
18,XXXTENTACION,21726799289,2664663104.00,144,7,44,18.09.22,
19,Ozuna,21119272574,7514655612.00,215,1,51,17.09.22,
20,Khalid,20973735166,2923419376.00,119,7,40,15.09.22,
21,Rihanna,20761226681,6677097087.00,278,2,46,19.09.22,
22,Travis Scott,20566427073,9662107113.00,113,4,49,17.09.22,
23,Maroon 5,19952566778,18447.00,240,7,31,17.09.22,
24,David Guetta,19104897589,1131603410.00,705,1,46,19.09.22,
25,Shawn Mendes,18964777185,46809153.00,126,5,34,19.09.22,
26,Bruno Mars,18201285113,3874562483.00,81,5,32,06.09.22,
27,Daddy Yankee,18075604863,5656394885.00,360,4,44,16.09.22,
28,Calvin Harris,17820311936,419338360.00,238,3,29,03.09.22,
29,Kendrick Lamar,17650726013,8647763108.00,121,2,41,19.09.22,
30,Sam Smith,16883863013,277349953.00,145,4,31,19.09.22,
31,Queen,16557204478,35125587.00,557,4,24,20.09.22,
32,Beyoncé,15593114022,1949901038.00,366,1,36,19.09.22,
33,Adele,15561219687,74107163.00,71,5,28,19.09.22,
34,Future,15552849123,9255946718.00,504,1,29,17.09.22,
35,One Direction,15499795436,0.00,124,0,45,19.09.22,
36,The Chainsmokers,15484677966,400919869.00,197,4,27,13.09.22,
37,Chris Brown,15440015429,7787759348.00,427,0,38,19.09.22,
38,Lady Gaga,14897662581,94739265.00,314,1,27,19.09.22,
39,J. Cole,14849857590,3309086106.00,137,1,39,20.09.22,
40,Nicki Minaj,14744100678,10558501637.00,171,2,35,19.09.22,
41,Anuel AA,14364736608,4592555695.00,160,1,35,19.09.22,
42,Halsey,14151726087,2459831429.00,180,3,24,12.09.22,
43,The Beatles,14001404418,0.00,792,0,39,19.09.22,
44,Selena Gomez,13905383000,2075330489.00,140,3,24,19.09.22,
45,Sia,13601270394,3054317056.00,323,2,26,19.09.22,
46,Maluma,13551469480,7414576492.00,195,0,34,18.08.22,
47,Harry Styles,13347420670,0.00,39,4,35,20.09.22,
48,Marshmello,13049327287,641714533.00,163,4,19,15.09.22,
49,Lil Uzi Vert,12985704210,8235141311.00,140,1,33,19.09.22,
50,Linkin Park,12970759855,47851519.00,350,2,30,18.09.22,
51,Twenty One Pilots,12949146668,0.00,90,3,36,18.09.22,
52,Rauw Alejandro,12914088970,1924490635.00,182,0,34,18.09.22,
53,Katy Perry,12631477879,1217714183.00,180,0,30,19.09.22,
54,Kygo,12519097847,1133263396.00,107,1,30,09.09.22,
55,Avicii,12484875427,456987347.00,248,3,18,20.09.22,
56,Lana Del Rey,12457976768,801314209.00,166,0,37,19.09.22,
57,Farruko,11983825654,6531990862.00,343,1,31,31.07.22,
58,Doja Cat,11973361879,1669029614.00,85,3,25,19.09.22,
59,Camila Cabello,11822254851,2188298508.00,61,2,24,19.09.22,
60,Jason Derulo,11262694386,742144326.00,197,0,28,08.09.22,
61,Arctic Monkeys,11249748739,0.00,134,1,24,19.09.22,
62,KAROL G,11177377040,553732559.00,85,2,29,20.09.22,
63,Red Hot Chili Peppers,11005993478,0.00,266,0,17,18.09.22,
64,Shakira,10782631210,1255591184.00,232,1,25,19.09.22,
65,Demi Lovato,10668611459,1425100886.00,251,1,23,19.09.22,
66,Miley Cyrus,9940559934,931030339.00,197,1,17,18.09.22,
67,OneRepublic,9926540057,219314451.00,167,1,27,28.08.22,
68,Nicky Jam,9861155500,9052517716.00,220,0,27,31.07.22,
69,Michael Jackson,9754680636,547196557.00,327,1,21,19.09.22,
70,Lil Baby,9670090585,8736714891.00,181,1,21,19.09.22,
71,Myke Towers,9667486409,4145835762.00,168,0,28,20.09.22,
72,Charlie Puth,9570632839,231391689.00,109,3,14,20.09.22,
73,Pitbull,9426002918,3062823873.00,394,1,21,10.09.22,
74,Martin Garrix,9390213325,87715051.00,199,2,19,17.09.22,
75,Sebastian Yatra,9365402828,850201743.00,126,0,30,19.09.22,
76,DaBaby,9326324913,4757336377.00,157,2,18,18.09.22,
77,21 Savage,9289820129,6019152179.00,162,0,24,19.09.22,
78,Mac Miller,9187372325,699621455.00,221,0,21,13.09.22,
79,Panic! At The Disco,9107446450,669606481.00,146,1,20,06.09.22,
80,Pop Smoke,9097323859,930302921.00,99,0,19,06.09.22,
81,Cardi B,9066363643,6163998179.00,70,2,18,17.09.22,
82,Sech,9011436885,2900320709.00,123,0,25,31.07.22,
83,Lil Wayne,8970128688,14160244567.00,476,0,19,17.09.22,
84,Young Thug,8956248071,9576540270.00,366,0,20,17.09.22,
85,Olivia Rodrigo,8954631138,1691988.00,37,2,13,19.09.22,
86,Metallica,8890283866,7116668.00,814,0,16,19.09.22,
87,G-Eazy,8847885490,2309356739.00,224,1,17,25.08.22,
88,Ellie Goulding,8826849897,639400676.00,167,1,16,06.09.22,
89,Lil Nas X,8778149366,0.00,34,3,11,16.09.22,
90,Major Lazer,8758754488,614069138.00,269,3,14,05.09.22,
91,Alan Walker,8727932813,1852490942.00,170,1,18,01.09.22,
92,Wiz Khalifa,8695422254,7040015281.00,461,1,19,18.09.22,
93,Lil Peep,8691721490,335277695.00,104,0,23,18.09.22,
94,Diplo,8496096848,1757002014.00,397,0,24,13.09.22,
95,Fall Out Boy,8451431705,38756715.00,199,0,18,13.09.22,
96,Elton John,8437442330,318323546.00,936,1,17,19.09.22,
97,AC/DC,8283420177,0.00,313,3,10,19.09.22,
98,P!nk,8243802966,663799734.00,227,0,23,18.09.22,
99,John Mayer,8243443329,514893335.00,208,0,20,16.09.22,
100,Logic,8221159539,1940369157.00,193,1,14,11.09.22,
